85	22161.38	1268	4.11	17.48	4391.68	17.55%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=15	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
86	18243.01	1370	3.49	13.32	4391.68	17.55%	TrailStart=16 	TrailStop=13 	MaxOpenOrders=16	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
87	16870.07	1199	3.15	14.07	4391.68	17.55%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=12	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
89	22161.38	1268	4.11	17.48	4391.68	17.55%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=12	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
91	25869.01	1174	3.81	22.03	6634.42	17.55%	TrailStart=16 	TrailStop=51 	MaxOpenOrders=16	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
92	17334.84	1326	3.22	13.07	4391.68	17.55%	TrailStart=16 	TrailStop=21 	MaxOpenOrders=15	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
95	15833.32	1302	3.04	12.16	4391.68	17.55%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=18	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
96	15833.32	1302	3.04	12.16	4391.68	17.55%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=17	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
98	17334.84	1326	3.22	13.07	4391.68	17.55%	TrailStart=16 	TrailStop=21 	MaxOpenOrders=14	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
101	18023.68	1188	3.19	15.17	4612.62	17.55%	TrailStart=10 	TrailStop=51 	MaxOpenOrders=15	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
102	15833.32	1302	3.04	12.16	4391.68	17.55%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=19	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
105	18243.01	1370	3.49	13.32	4391.68	17.55%	TrailStart=16 	TrailStop=13 	MaxOpenOrders=17	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
106	18336.38	1236	3.23	14.84	4391.68	17.55%	TrailStart=10 	TrailStop=47 	MaxOpenOrders=16	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
