57	1959.89	399	5.47	4.91	2348.05	22.43%	Lots=0.01 	MultiLotsFactor=1.1 	StepLots=7 	TakeProfit=37 	TrailStart=52 	TrailStop=21 	MaxOpenOrders=17	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
196	1899.28	141	3.33	13.47	2333.14	22.38%	Lots=0.04 	MultiLotsFactor=1.1 	StepLots=31 	TakeProfit=37 	TrailStart=52 	TrailStop=41 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
179	1870.44	245	1.82	7.63	3874.67	29.46%	Lots=0.05 	MultiLotsFactor=1 	StepLots=17 	TakeProfit=28 	TrailStart=36 	TrailStop=21 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
166	1802.15	1323	2.00	1.36	2299.68	19.60%	Lots=0.02 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=38 	TrailStop=11 	MaxOpenOrders=18	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
13	1708.05	479	10.30	3.57	797.02	7.28%	Lots=0.01 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=40 	TrailStart=42 	TrailStop=59 	MaxOpenOrders=19	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
38	1702.45	1841	2.64	0.92	867.94	7.85%	Lots=0.01 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=10 	TrailStop=5 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
101	1677.44	832	2.04	2.02	1676.45	13.53%	Lots=0.02 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=40 	TrailStart=12 	TrailStop=29 	MaxOpenOrders=12	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
64	1674.11	571	3.18	2.93	1550.86	12.73%	Lots=0.04 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=38 	TrailStop=41 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
31	1674.11	571	3.18	2.93	1550.86	12.73%	Lots=0.04 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=44 	TrailStop=37 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
58	1673.95	355	2.11	4.72	1478.25	14.40%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=27 	TakeProfit=37 	TrailStart=20 	TrailStop=49 	MaxOpenOrders=16	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
20	1658.23	1103	1.34	1.50	2147.26	20.55%	Lots=0.01 	MultiLotsFactor=2 	StepLots=21 	TakeProfit=22 	TrailStart=10 	TrailStop=19 	MaxOpenOrders=11	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
113	1592.64	195	7.55	8.17	1265.78	11.31%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=17 	TakeProfit=34 	TrailStart=42 	TrailStop=37 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
33	1545.32	275	3.47	5.62	595.45	5.93%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=29 	TakeProfit=34 	TrailStart=30 	TrailStop=47 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
202	1458.96	316	7.11	4.62	1397.12	12.90%	Lots=0.01 	MultiLotsFactor=1.7 	StepLots=7 	TakeProfit=22 	TrailStart=42 	TrailStop=51 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
112	1438.13	232	4.16	6.20	1154.81	10.84%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=27 	TakeProfit=31 	TrailStart=46 	TrailStop=47 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
